screen_name,r,w
277,"[  0.           0.98381009   8.58946941  -6.68654444  12.02212917
  13.00593926  20.61159858   5.33558473  11.92660692  12.91041701
  20.51607633   5.24006249  -7.01633347  -6.03252338   1.57313594
 -13.70287791]",[-7.01633347 11.92660692 12.02212917 -6.68654444  8.58946941  0.98381009]
290,"[0.         0.69821143 0.71748888 0.65900322 0.82952897 1.5277404
 1.54701785 1.48853219 0.1538191  0.85203053 0.87130798 0.81282231
 1.57611349 2.27432492 2.29360237 2.2351167 ]",[1.57611349 0.1538191  0.82952897 0.65900322 0.71748888 0.69821143]
448,"[ 0.          0.82955178  0.66315869  2.7331861   0.67129097  1.50084275
  1.33444965  3.40447706 -0.88554872 -0.05599694 -0.22239003  1.84763738
 -0.14393953  0.68561225  0.51921916  2.58924657]",[-0.14393953 -0.88554872  0.67129097  2.7331861   0.66315869  0.82955178]
631,"[  0.          17.14049656   0.82089836   0.13725653 -16.80742241
   0.33307415 -15.98652406 -16.67016589   0.11001601  17.25051256
   0.93091436   0.24727253  17.61668288  34.75717944  18.43758124
  17.75393941]","[ 17.61668288   0.11001601 -16.80742241   0.13725653   0.82089836
  17.14049656]"
435,"[ 0.          0.99837927  1.24725639  1.08398107  0.14867866  1.14705793
  1.39593504  1.23265973  0.05206743  1.05044669  1.29932381  1.13604849
 -0.09910319  0.89927608  1.14815319  0.98487788]",[-0.09910319  0.05206743  0.14867866  1.08398107  1.24725639  0.99837927]
1052,"[0.         0.43586246 0.90670151 3.44725149 0.54955819 0.98542065
 1.45625971 3.99680968 0.25659076 0.69245322 1.16329227 3.70384225
 2.0986651  2.53452756 3.00536662 5.5459166 ]",[2.0986651  0.25659076 0.54955819 3.44725149 0.90670151 0.43586246]
699,"[ 0.          0.09458573  1.7664112   0.49209767  0.58955603  0.68414176
  2.35596724  1.0816537   0.09875363  0.19333936  1.86516484  0.5908513
 -1.46481543 -1.37022971  0.30159577 -0.97271777]",[-1.46481543  0.09875363  0.58955603  0.49209767  1.7664112   0.09458573]
845,"[0.         0.99541296 0.34011503 0.89917201 0.35752588 1.35293884
 0.69764092 1.25669789 0.69453655 1.6899495  1.03465158 1.59370855
 1.64054502 2.63595798 1.98066005 2.53971703]",[1.64054502 0.69453655 0.35752588 0.89917201 0.34011503 0.99541296]
555,"[ 0.          0.67850744  0.83639674 -0.38027769  0.76680792  1.44531536
  1.60320465  0.38653023  0.215233    0.89374044  1.05162973 -0.16504469
  1.32307402  2.00158147  2.15947076  0.94279634]",[ 1.32307402  0.215233    0.76680792 -0.38027769  0.83639674  0.67850744]
566,"[0.         0.88414224 0.31528769 1.39037501 1.36790481 2.25204705
 1.6831925  2.75827982 0.21441124 1.09855348 0.52969893 1.60478626
 0.89097206 1.7751143  1.20625975 2.28134708]",[0.89097206 0.21441124 1.36790481 1.39037501 0.31528769 0.88414224]
648,"[0.         0.44906239 0.07014645 1.03625127 0.38895954 0.83802193
 0.45910599 1.42521081 0.71444669 1.16350908 0.78459314 1.75069796
 1.25354456 1.70260695 1.32369101 2.28979583]",[1.25354456 0.71444669 0.38895954 1.03625127 0.07014645 0.44906239]
759,"[ 0.          0.36431488  0.48069904  0.98257738  0.68921441  1.05352929
  1.16991345  1.67179179  1.6541424   2.01845729  2.13484144  2.63671979
 52.48076765 52.84508253 52.96146669 53.46334504]",[52.48076765  1.6541424   0.68921441  0.98257738  0.48069904  0.36431488]
826,"[0.         0.85262666 0.56050938 2.97213804 0.87082116 1.72344782
 1.43133054 3.8429592  0.37687757 1.22950423 0.93738694 3.34901561
 4.29909096 5.15171762 4.85960034 7.271229  ]",[4.29909096 0.37687757 0.87082116 2.97213804 0.56050938 0.85262666]
697,"[ 0.          0.79348256  0.67420141 -8.69758655  0.97499959  1.76848215
  1.649201   -7.72258696  0.11259649  0.90607905  0.7867979  -8.58499007
 12.9888698  13.78235236 13.66307122  4.29128325]",[12.9888698   0.11259649  0.97499959 -8.69758655  0.67420141  0.79348256]
400,"[0.         0.88006359 0.56977832 1.15978149 0.59111753 1.47118113
 1.16089585 1.75089902 0.12711256 1.00717616 0.69689088 1.28689405
 0.15927524 1.03933883 0.72905356 1.31905673]",[0.15927524 0.12711256 0.59111753 1.15978149 0.56977832 0.88006359]
579,"[ 0.          0.79711079  0.06883964  0.01083119  6.68502809  7.48213888
  6.75386773  6.69585928  2.070201    2.86731179  2.13904063  2.08103218
 -0.68378205  0.11332875 -0.61494241 -0.67295086]",[-0.68378205  2.070201    6.68502809  0.01083119  0.06883964  0.79711079]
539,"[0.         0.97127153 0.4566623  0.01481446 0.71354237 1.68481391
 1.17020468 0.72835683 0.99555537 1.9668269  1.45221767 1.01036983
 5.26492726 6.23619879 5.72158956 5.27974171]",[5.26492726 0.99555537 0.71354237 0.01481446 0.4566623  0.97127153]
222,"[ 0.          3.67046724  0.77569127  0.89052388  0.14895348  3.81942072
  0.92464474  1.03947735  1.75745826  5.4279255   2.53314953  2.64798214
 -6.61778786 -2.94732062 -5.84209659 -5.72726399]",[-6.61778786  1.75745826  0.14895348  0.89052388  0.77569127  3.67046724]
963,"[ 0.          0.65762817  6.53188634  2.44060721 -6.82685908 -6.16923091
 -0.29497275 -4.38625187  2.15299095  2.81061913  8.68487729  4.59359816
 -1.71234001 -1.05471183  4.81954633  0.7282672 ]",[-1.71234001  2.15299095 -6.82685908  2.44060721  6.53188634  0.65762817]
739,"[  0.           0.48623253  21.57796623  -4.13933988  -0.04759233
   0.4386402   21.5303739   -4.18693221   0.47546402   0.96169655
  22.05343025  -3.66387586 -36.93008076 -36.44384823 -15.35211453
 -41.06942064]","[-36.93008076   0.47546402  -0.04759233  -4.13933988  21.57796623
   0.48623253]"
217,"[  0.           0.14537153   0.47323613 -25.78265346   0.85501424
   1.00038577   1.32825037 -24.92763922   0.57569223   0.72106376
   1.04892836 -25.20696123  12.96445717  13.1098287   13.4376933
 -12.8181963 ]","[ 12.96445717   0.57569223   0.85501424 -25.78265346   0.47323613
   0.14537153]"
1007,"[ 0.          0.28417309 -0.66277765 11.23166982  0.62848912  0.9126622
 -0.03428854 11.86015894  0.63785768  0.92203076 -0.02491998 11.8695275
  7.0144059   7.29857898  6.35162824 18.24607572]",[ 7.0144059   0.63785768  0.62848912 11.23166982 -0.66277765  0.28417309]
559,"[0.         0.63028095 0.70448133 2.53594441 0.64455902 1.27483997
 1.34904035 3.18050343 0.76692037 1.39720131 1.4714017  3.30286477
 1.55421542 2.18449637 2.25869675 4.09015983]",[1.55421542 0.76692037 0.64455902 2.53594441 0.70448133 0.63028095]
