,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,NT+nt,NT+rp,NT+rt,NT+tw,RP+nt,RP+rp,RP+rt,RP+tw,RT+nt,RT+rp,RT+rt,RT+tw,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
575,7,39,154,3.1538461538461537,1.5384615384615385,42.84615384615385,11,1,1,5391,0.0,0.03801834,0.3950012,3.93939163,0.77070877,0.80872711,1.16570997,4.7101004,5.21032553,5.24834387,5.60532673,9.14971716,0.25,3.75,1.1666666666666667,8.916666666666666,20.166666666666668,0,0,-3.470548774669965e-20,0.0
576,18056,2340,141096,7.777777777777778,0.5,36.611111111111114,2,16,0,1922,0.0,1.9518308,0.45770539,-0.13248962,0.95572657,2.90755737,1.41343196,0.82323695,1.03890977,2.99074057,1.49661516,0.90642015,1.5,1.5,1.5,13.5,32.0,2,2,-1.8204377101308915e-17,1.82862158504919e-06
577,726,948,3113,8.529411764705882,1.3529411764705883,3.3529411764705883,16,1,0,4430,0.0,0.02543911,0.16131462,0.40377897,0.59987102,0.62531013,0.76118564,1.00364999,1.43014461,1.45558372,1.59145922,1.83392358,0.0,4.0625,1.1875,8.6875,17.0625,3,0,0.009358835133211703,0.0
578,275,510,3517,0.7647058823529411,0.35294117647058826,330.29411764705884,8,9,0,531,0.0,0.66675963,0.31131887,6.0816752,0.87382623,1.54058585,1.1851451,6.95550143,-1.80712366,-1.14036404,-1.49580479,4.27455154,0.0,1.75,1.0,4.625,8.0,2,4,0.0008800408691137832,0.00019017664484511574
579,1159,933,16667,9.701492537313433,0.05970149253731343,3.0,20,47,0,2687,0.0,0.79439921,0.63785525,1.49843053,0.56842608,1.36282528,1.20628132,2.06685661,0.74919549,1.5435947,1.38705074,2.24762603,0.0,3.0,0.8,7.1,13.95,8,2,0.10209111442856282,0.00021486303624327992
580,2380,2100,54310,1.8235294117647058,0.35294117647058826,383.1764705882353,1,8,8,3760,0.0,2.17879536,0.23439504,0.95844884,0.57068602,2.74948138,0.80508106,1.52913485,-2.45146781,-0.27267245,-2.21707277,-1.49301898,1.4444444444444444,2.0,0.1111111111111111,4.333333333333333,10.333333333333334,0,0,9.314439734261197e-20,0.0
581,371,203,10170,1.5357142857142858,0.29464285714285715,148.47321428571428,18,75,19,1996,0.0,1.43977137,0.12593606,0.29765198,0.47277614,1.91254751,0.5987122,0.77042812,-1.83967829,-0.39990691,-1.71374222,-1.5420263,0.7567567567567568,2.6216216216216215,0.32432432432432434,13.297297297297296,28.81081081081081,8,16,0.16111640002318706,0.01640251139405402
582,207,67,4812,3.8684210526315788,0.7894736842105263,0.5789473684210527,5,2,31,4152,0.0,0.37954249,0.84896929,-23.86020651,2.93799867,3.31754116,3.78696796,-20.92220784,25.26560175,25.64514424,26.11457104,1.40539524,1.7222222222222223,2.0833333333333335,0.3055555555555556,8.88888888888889,24.305555555555557,2,0,0.037927767662603994,0.0
583,386,167,21450,1.356060606060606,0.42424242424242425,2.242424242424242,29,34,69,1909,0.0,3.02204152,0.65736106,0.88467413,1.6720365,4.69407802,2.32939756,2.55671063,-6.86687289,-3.84483137,-6.20951183,-5.98219876,1.3673469387755102,1.5510204081632653,0.5408163265306123,3.204081632653061,6.622448979591836,4,5,0.0034165617717704885,0.007044459886137829
584,1083,3468,56842,3.0,0.07142857142857142,0.8571428571428571,2,2,10,558,0.0,0.67053501,0.66894757,0.46870298,0.83041044,1.50094545,1.49935801,1.29911342,0.35291105,1.02344605,1.02185862,0.82161402,1.75,2.4166666666666665,0.0,7.583333333333333,16.75,1,1,-1.3134317572772076e-18,0.0
