screen_name,r,w
549,"[ 0.          0.10702859  1.76091251  0.01963984  0.31849483  0.42552342
  2.07940734  0.33813468  0.99924322  1.10627181  2.76015573  1.01888306
 -0.76559898 -0.6585704   0.99531352 -0.74595914]",[-0.76559898  0.99924322  0.31849483  0.01963984  1.76091251  0.10702859]
1010,"[ 0.          2.93611095  0.96881763 -1.60552396  0.77760184  3.7137128
  1.74641947 -0.82792212  0.39653932  3.33265027  1.36535695 -1.20898465
  2.50595041  5.44206136  3.47476804  0.90042645]",[ 2.50595041  0.39653932  0.77760184 -1.60552396  0.96881763  2.93611095]
336,"[ 0.          0.26009448 -4.15905545  4.87812578  0.88840481  1.14849928
 -3.27065064  5.76653059  0.26169038  0.52178486 -3.89736506  5.13981617
 87.26354078 87.52363526 83.10448534 92.14166657]",[87.26354078  0.26169038  0.88840481  4.87812578 -4.15905545  0.26009448]
409,"[  0.           3.93202245   0.28415858  -0.22733475  -2.0007214
   1.93130105  -1.71656282  -2.22805615   3.82521672   7.75723916
   4.1093753    3.59788196 -12.1749927   -8.24297025 -11.89083411
 -12.40232745]","[-12.1749927    3.82521672  -2.0007214   -0.22733475   0.28415858
   3.93202245]"
389,"[ 0.          0.67013847  0.05400606 26.23095078 16.66554744 17.33568591
 16.7195535  42.89649822  3.9809289   4.65106737  4.03493496 30.21187968
  8.48412512  9.15426358  8.53813118 34.71507589]",[ 8.48412512  3.9809289  16.66554744 26.23095078  0.05400606  0.67013847]
690,"[ 0.          0.74432889  0.80531339  0.12489644 -0.97231631 -0.22798742
 -0.16700292 -0.84741988  2.65215091  3.3964798   3.4574643   2.77704734
  0.85621136  1.60054025  1.66152475  0.9811078 ]",[ 0.85621136  2.65215091 -0.97231631  0.12489644  0.80531339  0.74432889]
673,"[ 0.          0.39626026  0.76905123 -2.87522582  0.46919311  0.86545337
  1.23824434 -2.40603271 -0.4145348  -0.01827454  0.35451642 -3.28976062
  1.97059116  2.36685142  2.73964239 -0.90463466]",[ 1.97059116 -0.4145348   0.46919311 -2.87522582  0.76905123  0.39626026]
666,"[0.         0.09210615 0.14930776 1.60495715 0.59256841 0.68467456
 0.74187617 2.19752557 0.16712913 0.25923527 0.31643689 1.77208628
 0.9425889  1.03469504 1.09189666 2.54754605]",[0.9425889  0.16712913 0.59256841 1.60495715 0.14930776 0.09210615]
44,"[ 0.          2.5272227   0.1231828   0.19134231  0.01044326  2.53766596
  0.13362606  0.20178557 -0.42068908  2.10653363 -0.29750627 -0.22934676
 -2.81162258 -0.28439988 -2.68843978 -2.62028026]",[-2.81162258 -0.42068908  0.01044326  0.19134231  0.1231828   2.5272227 ]
68,"[  0.           0.75147545  94.60304284   0.65386531 -94.09707114
 -93.34559569   0.5059717  -93.44320584   0.20066264   0.95213809
  94.80370548   0.85452795   0.83467962   1.58615507  95.43772246
   1.48854492]","[  0.83467962   0.20066264 -94.09707114   0.65386531  94.60304284
   0.75147545]"
776,"[0.         0.68982675 0.08359801 5.68259755 1.63858549 2.32841224
 1.7221835  7.32118304 0.85560669 1.54543344 0.9392047  6.53820424
 2.61172874 3.30155548 2.69532675 8.29432628]",[2.61172874 0.85560669 1.63858549 5.68259755 0.08359801 0.68982675]
24,"[ 0.          4.62831108  0.09047229 -3.57316733  1.6144133   6.24272438
  1.70488559 -1.95875403  4.31818211  8.94649319  4.40865439  0.74501478
 -1.58752628  3.0407848  -1.49705399 -5.16069361]",[-1.58752628  4.31818211  1.6144133  -3.57316733  0.09047229  4.62831108]
86,"[0.         0.47296827 0.09581418 0.37572814 0.23887247 0.71184074
 0.33468665 0.61460061 0.09219778 0.56516605 0.18801196 0.46792593
 1.36886518 1.84183345 1.46467936 1.74459333]",[1.36886518 0.09219778 0.23887247 0.37572814 0.09581418 0.47296827]
865,"[0.         1.30000834 0.38434603 0.41460876 0.54305509 1.84306343
 0.92740112 0.95766385 0.75238839 2.05239673 1.13673442 1.16699716
 0.79934673 2.09935507 1.18369276 1.2139555 ]",[0.79934673 0.75238839 0.54305509 0.41460876 0.38434603 1.30000834]
52,"[0.         0.79931439 0.55521434 0.7424705  0.21903646 1.01835085
 0.77425079 0.96150695 0.6760989  1.47541329 1.23131324 1.4185694
 3.13508897 3.93440336 3.6903033  3.87755946]",[3.13508897 0.6760989  0.21903646 0.7424705  0.55521434 0.79931439]
683,"[ 0.          0.83383633  0.65115864  6.32514124  4.08993738  4.92377372
  4.74109602 10.41507862  1.22151289  2.05534923  1.87267154  7.54665414
 -3.36508808 -2.53125174 -2.71392944  2.96005317]",[-3.36508808  1.22151289  4.08993738  6.32514124  0.65115864  0.83383633]
866,"[0.         0.86945689 1.32697265 0.14624563 0.53803943 1.40749632
 1.86501208 0.68428506 0.79359418 1.66305107 2.12056683 0.93983981
 4.30319979 5.17265668 5.63017244 4.44944541]",[4.30319979 0.79359418 0.53803943 0.14624563 1.32697265 0.86945689]
809,"[ 0.          0.70016924  1.11354706  1.47598681  0.45785695  1.15802619
  1.57140401  1.93384376  0.66717336  1.3673426   1.78072042  2.14316017
 -0.27014298  0.43002625  0.84340407  1.20584382]",[-0.27014298  0.66717336  0.45785695  1.47598681  1.11354706  0.70016924]
159,"[ 0.          0.16923443  0.23136279 -0.29687905  0.45080797  0.6200424
  0.68217076  0.15392892  0.92299028  1.09222472  1.15435307  0.62611123
  1.67209788  1.84133231  1.90346067  1.37521883]",[ 1.67209788  0.92299028  0.45080797 -0.29687905  0.23136279  0.16923443]
239,"[ 0.          0.26604717  2.52541339 -1.07145299  0.12424129  0.39028846
  2.64965468 -0.9472117   0.50562363  0.7716708   3.03103702 -0.56582937
  1.83553381  2.10158098  4.3609472   0.76408081]",[ 1.83553381  0.50562363  0.12424129 -1.07145299  2.52541339  0.26604717]
873,"[ 0.00000000e+00  3.98609630e+00  3.36915543e-03  5.28095980e-01
  1.31606255e+01  1.71467218e+01  1.31639947e+01  1.36887215e+01
 -1.38698257e+01 -9.88372943e+00 -1.38664566e+01 -1.33417298e+01
  5.81161264e-01  4.56725756e+00  5.84530419e-01  1.10925724e+00]","[ 5.81161264e-01 -1.38698257e+01  1.31606255e+01  5.28095980e-01
  3.36915543e-03  3.98609630e+00]"
486,"[0.         0.30277933 0.8189552  0.70246511 0.49972575 0.80250508
 1.31868095 1.20219086 0.95521777 1.2579971  1.77417297 1.65768288
 1.54511583 1.84789516 2.36407104 2.24758094]",[1.54511583 0.95521777 0.49972575 0.70246511 0.8189552  0.30277933]
551,"[0.         0.99391226 0.44873097 0.22207502 0.45079468 1.44470694
 0.89952565 0.67286969 0.52548442 1.51939668 0.97421539 0.74755943
 0.56635601 1.56026827 1.01508698 0.78843103]",[0.56635601 0.52548442 0.45079468 0.22207502 0.44873097 0.99391226]
965,"[  0.           0.19289871   4.64962553   3.25149417 -13.83043791
 -13.6375392   -9.18081238 -10.57894374   3.64161314   3.83451186
   8.29123867   6.89310731 -15.12081525 -14.92791654 -10.47118972
 -11.86932108]","[-15.12081525   3.64161314 -13.83043791   3.25149417   4.64962553
   0.19289871]"
881,"[0.         0.52555487 0.50674294 1.1011293  2.56901101 3.09456589
 3.07575396 3.67014031 0.09327202 0.61882689 0.60001496 1.19440131
 0.57969767 1.10525254 1.08644061 1.68082697]",[0.57969767 0.09327202 2.56901101 1.1011293  0.50674294 0.52555487]
402,"[ 0.          0.92944968  0.60440975  0.27103905  0.69639146  1.62584114
  1.30080122  0.96743051 -0.0062365   0.92321318  0.59817325  0.26480255
  1.53960679  2.46905647  2.14401654  1.81064584]",[ 1.53960679 -0.0062365   0.69639146  0.27103905  0.60440975  0.92944968]
568,"[ 0.          0.34557458  1.22987523 -0.01821191  0.58521776  0.93079235
  1.81509299  0.56700586  0.72705776  1.07263234  1.95693299  0.70884585
  3.00810184  3.35367642  4.23797707  2.98988993]",[ 3.00810184  0.72705776  0.58521776 -0.01821191  1.22987523  0.34557458]
14,"[ 0.          0.31428046 -0.79914512  3.6200595   1.14915195  1.46343241
  0.35000683  4.76921145  0.37839221  0.69267268 -0.4207529   3.99845171
  1.11312345  1.42740392  0.31397834  4.73318295]",[ 1.11312345  0.37839221  1.14915195  3.6200595  -0.79914512  0.31428046]
74,"[ 0.          0.26962783  0.85948338  4.27543858  0.20972171  0.47934954
  1.06920509  4.48516029  0.29372944  0.56335727  1.15321283  4.56916803
 -1.0011031  -0.73147527 -0.14161971  3.27433549]",[-1.0011031   0.29372944  0.20972171  4.27543858  0.85948338  0.26962783]
944,"[ 0.          0.11885425  0.80675225  0.52943719  6.93830933  7.05716358
  7.74506158  7.46774652 -4.32678832 -4.20793407 -3.52003607 -3.79735113
 14.48042975 14.599284   15.287182   15.00986694]",[14.48042975 -4.32678832  6.93830933  0.52943719  0.80675225  0.11885425]
579,"[ 0.          1.99860096  0.96119667  0.83435072 -2.83784895 -0.83924799
 -1.87665228 -2.00349823  2.45812191  4.45672287  3.41931859  3.29247263
  2.27249264  4.2710936   3.23368931  3.10684336]",[ 2.27249264  2.45812191 -2.83784895  0.83435072  0.96119667  1.99860096]
722,"[0.         0.78861265 0.20854285 7.11575309 0.8811025  1.66971515
 1.08964534 7.99685558 0.17428477 0.96289742 0.38282761 7.29003785
 0.90734127 1.69595392 1.11588411 8.02309435]",[0.90734127 0.17428477 0.8811025  7.11575309 0.20854285 0.78861265]
149,"[0.         1.03469859 0.64180333 0.11994027 0.32057193 1.35527052
 0.96237526 0.44051219 0.11503502 1.14973361 0.75683835 0.23497528
 0.07103323 1.10573182 0.71283656 0.19097349]",[0.07103323 0.11503502 0.32057193 0.11994027 0.64180333 1.03469859]
948,"[   0.            0.44669742   36.80033525   17.13270738   -5.04714258
   -4.60044516   31.75319267   12.08556479    0.11421566    0.56091308
   36.91455092   17.24692304 -104.3231363  -103.87643888  -67.52280105
  -87.19042892]","[-104.3231363     0.11421566   -5.04714258   17.13270738   36.80033525
    0.44669742]"
1039,"[0.         0.89957022 0.8981001  0.70725579 1.21566733 2.11523755
 2.11376742 1.92292312 0.2093032  1.10887343 1.1074033  0.916559
 0.73390079 1.63347101 1.63200089 1.44115658]",[0.73390079 0.2093032  1.21566733 0.70725579 0.8981001  0.89957022]
848,"[ 0.          0.2052877   4.99058431 -4.26430171  0.21205714  0.41734485
  5.20264145 -4.05224457  0.21105432  0.41634202  5.20163862 -4.05324739
 24.28279898 24.48808668 29.27338329 20.01849727]",[24.28279898  0.21105432  0.21205714 -4.26430171  4.99058431  0.2052877 ]
