,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
98,6173,795,5037,0.37777777777777777,0.13333333333333333,0.08888888888888889,95,40,0,4077,0.010526315789473684,9.326315789473684,1.0,8.147368421052631,12.810526315789474,0,0,6.187865371163941e-19,0.0
99,548,1818,37527,1.16,0.2,2.36,12,11,2,1139,0.2857142857142857,1.0714285714285714,1.0714285714285714,6.857142857142857,14.642857142857142,0,2,-9.718076851829762e-20,0.0
100,54,39,3144,8.2,1.4666666666666666,105.6,5,8,2,413,0.2857142857142857,1.5714285714285714,1.4285714285714286,7.285714285714286,15.571428571428571,3,2,0.03023450727790696,1.6762364529617578e-05
101,581,820,4743,3.6666666666666665,0.0,418.0,5,1,0,3330,0.0,4.0,0.8,13.6,29.8,0,0,-1.0588965601877815e-20,0.0
102,58,151,1256,4.275862068965517,0.3793103448275862,2.0344827586206895,18,9,2,3385,0.25,1.9,0.45,8.75,22.15,4,2,0.10166556425275657,0.00019017664484511574
103,12623,10261,198706,0.9230769230769231,0.07692307692307693,289.61538461538464,7,5,1,3696,0.5,1.375,0.375,13.0,27.625,0,0,-9.133000467044687e-20,0.0
104,44,75,5271,0.35036496350364965,0.18248175182481752,0.072992700729927,0,0,137,2793,1.1167883211678833,3.6496350364963503,0.10948905109489052,4.817518248175182,10.605839416058394,2,0,0.01993628265456799,0.0
105,637,1169,9507,1.0952380952380953,0.14285714285714285,68.95238095238095,17,4,0,4576,0.058823529411764705,4.588235294117647,0.0,13.058823529411764,27.941176470588236,1,3,0.03781129686009103,0.0
106,401,460,7511,0.75,0.05,30.25,1,19,0,3615,2.0,9.0,1.0,10.0,10.0,0,0,1.4451981148870845e-19,0.0
107,56,6,1027,1.4848484848484849,1.0606060606060606,0.5151515151515151,32,1,0,4595,0.0,3.96875,1.09375,10.34375,21.40625,2,0,0.03987860640308039,0.0
108,8,73,437,0.673469387755102,0.12244897959183673,339.14285714285717,40,9,0,441,0.125,1.675,0.5,3.85,8.025,1,2,0.0006735101463178127,4.571553962622975e-07
109,79,3712,8324,1.125,0.0,540.0,1,7,0,2136,0.0,7.0,0.0,6.0,18.0,1,1,4.916354401693955e-19,0.0
110,2601,4993,78296,2.2962962962962963,0.07407407407407407,1320.111111111111,2,25,0,4649,0.0,1.0,1.0,3.0,4.5,0,2,-3.769468055282573e-19,0.0
111,30447,4144,52475,0.0,0.0,251.66666666666666,0,6,0,4955,0.0,0.0,0.0,0.0,0.0,0,1,-2.9198618324121683e-20,0.0
112,187,666,3044,197.77777777777777,18.0,177.77777777777777,5,2,2,5378,0.5714285714285714,4.571428571428571,0.5714285714285714,10.714285714285714,23.714285714285715,8,0,0.046095652090413004,0.0
113,862,3433,120388,0.14285714285714285,0.0,531.5714285714286,0,7,0,4752,0.0,0.0,0.0,0.0,0.0,1,2,9.213363461488397e-19,0.0
114,882,2656,6052,1.4642857142857142,0.07142857142857142,7.428571428571429,11,17,0,1149,0.0,21.363636363636363,1.2727272727272727,15.454545454545455,21.454545454545453,1,1,-4.743700870397471e-19,0.0
115,15,171,297,0.9534883720930233,0.13953488372093023,85.95348837209302,9,33,1,1026,0.3,1.5,0.9,9.6,22.0,1,6,0.039878606403080386,0.009395457703982736
