screen_name,r,w
759,"[0.00000000e+00 6.73792371e-01 2.36326568e-02 1.03072288e+00
 2.57902869e-01 9.31695240e-01 2.81535526e-01 1.28862575e+00
 1.42129807e+00 2.09509044e+00 1.44493072e+00 2.45202095e+00
 5.25273087e+01 5.32011010e+01 5.25509413e+01 5.35580315e+01]","[5.25273087e+01 1.42129807e+00 2.57902869e-01 1.03072288e+00
 2.36326568e-02 6.73792371e-01]"
210,"[ 0.          0.76120689  0.16699016 50.89734991  0.26188523  1.02309212
  0.4288754  51.15923514  3.53082169  4.29202858  3.69781186 54.4281716
 43.20225936 43.96346625 43.36924952 94.09960927]",[43.20225936  3.53082169  0.26188523 50.89734991  0.16699016  0.76120689]
911,"[0.         0.55083212 0.48319047 0.47180847 0.03080641 0.58163853
 0.51399688 0.50261488 0.00209725 0.55292937 0.48528772 0.47390572
 1.33828779 1.88911991 1.82147826 1.81009626]",[1.33828779 0.00209725 0.03080641 0.47180847 0.48319047 0.55083212]
95,"[ 0.          0.15361885 -0.24449732  2.06858114 -0.42102137 -0.26740252
 -0.66551869  1.64755977  0.64577631  0.79939516  0.40127899  2.71435745
  6.16910763  6.32272649  5.92461032  8.23768877]",[ 6.16910763  0.64577631 -0.42102137  2.06858114 -0.24449732  0.15361885]
702,"[ 0.          0.78135893  0.88635243  7.20867713  0.2992298   1.08058874
  1.18558223  7.50790694  1.71617057  2.4975295   2.602523    8.9248477
 -1.90324151 -1.12188257 -1.01688908  5.30543562]",[-1.90324151  1.71617057  0.2992298   7.20867713  0.88635243  0.78135893]
990,"[0.         0.15114106 0.28640219 1.37076995 0.88756688 1.03870794
 1.17396907 2.25833682 2.42702029 2.57816135 2.71342247 3.79779023
 1.16047657 1.31161763 1.44687876 2.53124652]",[1.16047657 2.42702029 0.88756688 1.37076995 0.28640219 0.15114106]
853,"[ 0.          0.3444867   0.67129905  1.10500136 -0.01490481  0.3295819
  0.65639425  1.09009655  1.03424283  1.37872954  1.70554189  2.13924419
  3.53822343  3.88271014  4.20952248  4.64322479]",[ 3.53822343  1.03424283 -0.01490481  1.10500136  0.67129905  0.3444867 ]
470,"[ 0.          0.16545676  0.6309893  -1.39814401  0.64009707  0.80555383
  1.27108637 -0.75804694 -2.56981156 -2.4043548  -1.93882226 -3.96795557
 15.60901482 15.77447158 16.24000412 14.2108708 ]",[15.60901482 -2.56981156  0.64009707 -1.39814401  0.6309893   0.16545676]
763,"[ 0.          0.25613841  0.24413613  5.60500499  1.2541512   1.51028961
  1.49828733  6.85915619  1.04361367  1.29975208  1.2877498   6.64861866
 -2.33382598 -2.07768757 -2.08968985  3.27117901]",[-2.33382598  1.04361367  1.2541512   5.60500499  0.24413613  0.25613841]
364,"[  0.         -10.91594134   0.87008156  11.84406065   1.93834795
  -8.97759339   2.80842951  13.7824086  -12.12922646 -23.0451678
 -11.2591449   -0.28516581  24.93951984  14.0235785   25.8096014
  36.78358049]","[ 24.93951984 -12.12922646   1.93834795  11.84406065   0.87008156
 -10.91594134]"
351,"[ 0.          0.62836436  0.28984967 -2.62933947  0.64241224  1.2707766
  0.93226191 -1.98692723  1.03052934  1.6588937   1.32037901 -1.59881013
  3.17553748  3.80390184  3.46538715  0.54619801]",[ 3.17553748  1.03052934  0.64241224 -2.62933947  0.28984967  0.62836436]
537,"[ 0.          0.64048197  2.07902524 -0.78168735  0.34817191  0.98865388
  2.42719715 -0.43351544  0.98825828  1.62874026  3.06728352  0.20657093
 15.68271643 16.3231984  17.76174167 14.90102908]",[15.68271643  0.98825828  0.34817191 -0.78168735  2.07902524  0.64048197]
1,"[ 0.          0.87637702  2.34604423  0.67411931  2.06946467  2.9458417
  4.41550891  2.74358398 -2.49475736 -1.61838033 -0.14871312 -1.82063805
  0.92444193  1.80081895  3.27048616  1.59856123]",[ 0.92444193 -2.49475736  2.06946467  0.67411931  2.34604423  0.87637702]
78,"[ 0.          0.54723919  2.59237046  0.23530341  0.76444662  1.31168581
  3.35681709  0.99975004  1.85730897  2.40454816  4.44967943  2.09261238
 -3.07631221 -2.52907302 -0.48394175 -2.8410088 ]",[-3.07631221  1.85730897  0.76444662  0.23530341  2.59237046  0.54723919]
178,"[ 0.          0.83832757  0.66272166  7.04221418  3.7959341   4.63426167
  4.45865576 10.83814828  0.28643165  1.12475922  0.94915331  7.32864583
 14.28674362 15.12507119 14.94946528 21.3289578 ]",[14.28674362  0.28643165  3.7959341   7.04221418  0.66272166  0.83832757]
290,"[0.         0.55954624 0.109485   0.68446469 0.86221074 1.42175698
 0.97169575 1.54667543 0.73330705 1.2928533  0.84279206 1.41777174
 1.61597177 2.17551801 1.72545677 2.30043646]",[1.61597177 0.73330705 0.86221074 0.68446469 0.109485   0.55954624]
707,"[ 0.          0.65532631  0.03887194  3.43432855  0.27260403  0.92793035
  0.31147597  3.70693258  4.11081164  4.76613796  4.14968358  7.54514019
 -2.70309562 -2.04776931 -2.66422368  0.73123293]",[-2.70309562  4.11081164  0.27260403  3.43432855  0.03887194  0.65532631]
875,"[0.         1.18085621 0.34589994 0.5550212  0.40561127 1.58646748
 0.7515112  0.96063247 0.3018688  1.48272501 0.64776873 0.85689
 3.64093485 4.82179106 3.98683479 4.19595606]",[3.64093485 0.3018688  0.40561127 0.5550212  0.34589994 1.18085621]
